nombreRestaurante,valoracion,etiquetas
Proverbium,"9,0", pasta pizza tiramisu trufa atun
Juan Blanco,"8,8", arroz croquetas rabo atun bonito
El Bury/parrilla,"8,8", carne tarta albondigas queso croquetas
Restaurante Trattoria Piccolo Mio,"8,7", pasta risotto tiramisu ensalada queso
Restaurante Alilian,"8,6", oreja tarta arroz carne queso
Fisterra,"8,5", tortilla pulpo tarta tapas alcachofas
The Burguer Lobby,"8,4", hamburguesa carne cebolla tarta patatas
Meson Jamonero Canete,"8,4", jamon torreznos embutidos tapas quesos
India Gate,"8,4", picante pollo arroz curry cordero
Ginos - Boadilla,"8,4", pizza pasta ensalada
El buey boadilla,"8,4", carne buey ensalada tarta lomo
La Lonja de Boadilla SL.,"8,2", pescado marisco carne gambas pulpo
La Ilustracion Gastrobar,"8,2", cocido tarta tapas arroz
Mar y Montaña,"8,2", picante arroz pollo croquetas
Vitalia Ferdi,"8,2", pollo tortilla arroz patatas asado
